Problem size,Base_HIP-atomic_direct_256,Base_HIP-atomic_occgs_256,Base_Seq-default,RAJA_HIP-atomic_direct_256,RAJA_HIP-atomic_occgs_256
3120,4.67047,4.62363,4.78196,4.34494,4.28538
12495,17.7215,17.6489,4.64252,17.0075,16.6415
49995,69.0062,69.0431,4.59966,64.7093,63.0929
99995,124.126,130.713,4.59197,117.075,123.133
199995,221.566,238.614,4.58966,204.062,217.27
399995,297.757,298.961,4.5878,282.78,288.432
799995,407.522,408.478,4.58573,387.028,398.214
1599995,495.21,497.876,4.57977,463.98,491.753
3199995,457.638,497.456,4.57854,412.137,494.989
4687495,412.268,463.435,4.57812,368.591,463.739
