Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,24678.0,496.289,N/A
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,24678.0,508.972,N/A
