Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_INTSC_HEXRECT-Base_HIP-block_64,74088.0,140.696,N/A
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,74088.0,139.162,N/A
