Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_EDGE3D-Base_HIP-block_256,35937.0,3804.95,N/A
Apps_EDGE3D-RAJA_HIP-block_256,35937.0,3834.26,N/A
