Problem size,Base_HIP-direct_64 (raw),Base_HIP-direct_64 (smoothed),Base_HIP-runtime_block_stride_loop_64 (raw),Base_HIP-runtime_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-direct_64 (raw),RAJA_HIP-direct_64 (smoothed),RAJA_HIP-runtime_block_stride_loop_64 (raw),RAJA_HIP-runtime_block_stride_loop_64 (smoothed),Base_HIP-direct_64 (raw B/W),Base_HIP-direct_64 (smoothed B/W),Base_HIP-runtime_block_stride_loop_64 (raw B/W),Base_HIP-runtime_block_stride_loop_64 (smoothed B/W),RAJA_HIP-cached_block_stride_loop_64 (raw B/W),RAJA_HIP-cached_block_stride_loop_64 (smoothed B/W),RAJA_HIP-direct_64 (raw B/W),RAJA_HIP-direct_64 (smoothed B/W),RAJA_HIP-runtime_block_stride_loop_64 (raw B/W),RAJA_HIP-runtime_block_stride_loop_64 (smoothed B/W)
10752,71.423,279.244,36.267,142.738,38.6843,152.288,71.1203,274.871,28.8636,113.799,21.8077,85.2015,11.0734,43.5514,11.8115,46.4653,21.7152,83.8672,8.81296,34.7218
42624,279.244,609.2045,142.738,336.60699999999997,152.288,361.073,274.871,600.6949999999999,113.799,268.1555,85.2015,185.85175,43.5514,102.6892,46.4653,110.15315000000001,83.8672,183.25560000000002,34.7218,81.8069
169920,939.165,939.165,530.476,530.476,569.858,569.858,926.519,926.519,422.512,422.512,286.502,286.502,161.827,161.827,173.841,173.841,282.644,282.644,128.892,128.892
339840,1360.05,1360.05,895.325,895.325,980.21,980.21,1341.97,1341.97,761.618,761.618,414.885,414.885,273.12,273.12,299.014,299.014,409.369,409.369,232.332,232.332
679680,1648.5,1648.5,1178.6,1178.6,1450.34,1450.34,1636.08,1636.08,1170.04,1170.04,502.869,502.869,359.527,359.527,442.42,442.42,499.08,499.08,356.918,356.918
1359360,2648.11,2648.11,2051.15,2051.15,2101.42,2101.42,2621.99,2621.99,1544.2,1544.2,807.79,807.79,625.69,625.69,641.026,641.026,799.824,799.824,471.051,471.051
2718720,3156.76,3156.76,2436.31,2436.31,2527.46,2527.46,3148.14,3148.14,1720.49,1720.49,962.948,962.948,743.179,743.179,770.983,770.983,960.319,960.319,524.824,524.824
5437248,3460.55,3325.17,2579.13,2572.32,2694.28,2690.52,3438.77,3338.47,1816.44,1772.91,1055.61,1014.32,786.745,784.665,821.869,820.722,1048.97,1018.37,554.091,540.812
10874496,3404.14,3345.72,2577.2,2577.2,2697.87,2694.28,3379.22,3338.47,1867.14,1806.09,1038.41,1020.58,786.153,786.153,822.963,821.869,1030.81,1018.37,569.556,550.933
15929280,3325.17,3345.72,2572.32,2579.13,2690.52,2694.28,3338.47,3338.47,1772.91,1806.09,1014.32,1020.58,784.665,786.745,820.722,821.869,1018.37,1018.37,540.812,550.933
21748800,3345.72,3325.17,2619.04,2597.02,2736.97,2697.87,3320.8,3320.8,1806.09,1772.91,1020.58,1014.32,798.918,792.2,834.891,822.963,1012.98,1012.98,550.933,540.812
31858560,3290.34,3307.755,2597.02,2605.8199999999997,2685.23,2701.8199999999997,3256.72,3290.11,1688.09,1730.5,1003.69,1009.0050000000001,792.2,794.884,819.108,824.1685,993.435,1003.62,514.94,527.876
42477888,3276.96,3290.34,2614.62,2614.62,2713.12,2713.12,3259.42,3259.42,1661.71,1688.09,999.61,1003.69,797.568,797.568,827.615,827.615,994.26,994.26,506.893,514.94
