Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
1331,62.766,263.667,72.3976,310.981
8000,263.667,678.1434999999999,310.981,721.0705
35937,1092.62,1092.62,1131.16,1131.16
79507,1783.18,1783.18,1818.28,1818.28
166375,2477.71,2477.71,2501.68,2501.68
343000,2958.27,2829.2,2949.85,2833.57
704969,2829.2,2958.27,2833.57,2949.85
1442897,3299.32,2958.27,3412.29,2949.85
2985984,3018.23,3018.23,3043.74,3041.35
4410944,2913.06,3029.03,2926.61,3043.74
6028568,3029.03,3018.23,3041.35,3041.35
8869743,3328.42,2971.045,3329.54,2983.98
12008989,2470.29,3029.03,2473.76,3041.35
