Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed)
1331,72.9612,291.575,73.6891,287.229
4913,291.575,563.5185,287.229,578.7705
19683,835.462,835.462,870.312,870.312
35937,1256.77,1256.77,1291.06,1291.06
68921,1834.11,1834.11,1836.32,1836.32
132651,2332.96,2332.96,2333.07,2333.07
250047,2520.87,2520.87,2484.95,2484.95
531441,2558.26,2520.87,2516.47,2484.95
1030301,2572.65,2520.87,2556.15,2484.95
1442897,2489.17,2489.17,2470.45,2470.45
2048383,2377.08,2377.08,2393.87,2393.87
2924207,2318.64,2347.8599999999997,2273.86,2333.865
3869893,2238.92,2318.64,2202.57,2273.86
