Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed)
783,37.4696,146.712,40.0303,155.076
3105,146.712,358.0895,155.076,374.6185
12339,569.467,569.467,594.161,594.161
24678,1020.85,1020.85,1058.32,1058.32
49329,1516.08,1516.08,1553.41,1553.41
98631,2064.74,2064.74,2087.52,2087.52
197262,2756.48,2756.48,2824.15,2824.15
394524,3331.85,3331.85,3438.34,3438.34
789048,3463.74,3463.74,3438.7,3438.7
1155843,3786.31,3463.74,3884.43,3438.7
1578096,3468.44,3463.74,3624.57,3438.7
2311659,2983.7,3226.0699999999997,3088.52,3356.545
3082212,2894.55,2983.7,2991.19,3088.52
