Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
834,3.10149,12.7453,3.8007,15.3469
3334,12.7453,33.05115,15.3469,37.95765
13334,53.357,53.357,60.5684,60.5684
26667,103.802,103.802,120.376,120.376
53334,213.241,213.241,234.734,234.734
106667,416.411,416.411,414.842,414.842
213334,602.153,602.153,610.966,610.966
426667,714.917,714.917,704.769,704.769
853334,777.108,777.108,784.165,784.165
1250000,835.821,835.821,832.221,832.221
1706667,872.99,872.99,874.1,874.1
2500000,911.166,892.078,909.758,891.9290000000001
3333334,932.187,911.166,933.199,909.758
