Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
2744,38.9462,152.089,39.6226,152.476,0.488437,1.88445,0.496921,1.88924
10648,152.089,331.8995,152.476,342.283,1.88445,4.0902899999999995,1.88924,4.218065
39304,511.71,511.71,532.09,532.09,6.29613,6.29613,6.54689,6.54689
74088,554.202,554.202,564.439,564.439,6.80292,6.80292,6.92859,6.92859
140608,713.671,713.671,717.23,717.23,8.74387,8.74387,8.78748,8.78748
287496,855.41,855.41,858.945,858.945,10.4631,10.4631,10.5063,10.5063
551368,872.664,872.664,873.751,873.751,10.6614,10.6614,10.6747,10.6747
1124864,908.364,908.364,905.391,905.391,11.0862,11.0862,11.0499,11.0499
2197000,914.791,914.791,921.499,908.418,11.1562,11.1562,11.238,11.0744
3241792,917.152,917.152,908.418,917.638,11.1808,11.1808,11.0744,11.1839
4410944,921.171,921.171,917.638,921.499,11.2269,11.2269,11.1839,11.238
6434856,936.166,927.0640000000001,928.97,923.3040000000001,11.4065,11.296,11.3188,11.251349999999999
8741816,932.957,932.957,933.977,928.97,11.3651,11.3651,11.3775,11.3188
