Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_FEMSWEEP-Base_OpenMP-default,31104.0,61.9668,11.1282
Apps_FEMSWEEP-RAJA_OpenMP-default,31104.0,62.859,11.2884
Apps_FEMSWEEP-Base_CUDA-block_128,1533312.0,319.269,61.8418
Apps_FEMSWEEP-RAJA_CUDA-block_128,1533312.0,269.652,52.2312
