Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,85.2015,43.5514,46.4653,83.8672,34.7218
42624,185.85175,102.6892,110.15315000000001,183.25560000000002,81.8069
169920,286.502,161.827,173.841,282.644,128.892
339840,414.885,273.12,299.014,409.369,232.332
679680,502.869,359.527,442.42,499.08,356.918
1359360,807.79,625.69,641.026,799.824,471.051
2718720,962.948,743.179,770.983,960.319,524.824
5437248,1014.32,784.665,820.722,1018.37,540.812
10874496,1020.58,786.153,821.869,1018.37,550.933
15929280,1020.58,786.745,821.869,1018.37,550.933
21748800,1014.32,792.2,822.963,1012.98,540.812
31858560,1009.0050000000001,794.884,824.1685,1003.62,527.876
42477888,1003.69,797.568,827.615,994.26,514.94
