Problem size,Base_HIP-block_64,RAJA_HIP-block_64
1331,138.32,137.1
4913,266.6295,271.9735
19683,394.939,406.847
35937,587.648,593.807
68921,855.661,852.208
132651,1119.23,1100.71
250047,1199.35,1195.35
531441,1199.35,1195.35
1030301,1199.35,1195.35
1442897,1142.31,1169.0
2048383,1132.24,1135.4
2924207,1111.615,1105.1
3869893,1090.99,1074.8
