Problem size,Base_HIP-block_256,RAJA_HIP-block_256
834,57.2374,56.1099
3334,140.9457,140.50295
13334,224.654,224.896
26667,437.074,439.914
53334,859.077,856.061
106667,1518.26,1526.82
213334,2227.21,2306.66
426667,2744.89,2649.44
853334,2883.25,2875.96
1250000,3098.81,3088.96
1706667,3235.42,3233.53
2500000,3306.4750000000004,3291.735
3333334,3377.53,3349.94
