Problem size,Base_HIP-block_64,RAJA_HIP-block_64
2744,150.684,155.049
10648,330.0465,335.706
39304,509.409,516.363
74088,550.349,559.07
140608,709.252,715.135
287496,852.453,852.959
551368,864.759,860.369
1124864,888.551,888.071
2197000,901.726,905.342
3241792,905.81,922.258
4410944,924.288,930.696
6434856,927.6800000000001,931.0785000000001
8741816,931.072,931.461
