Problem size,Base_HIP-block_256,RAJA_HIP-block_256
1331,5819.14,6033.92
8000,13415.72,13535.810000000001
35937,21012.3,21037.7
79507,22367.4,22433.8
166375,22656.3,22721.4
343000,24438.1,24651.1
704969,24551.4,24898.1
1442897,25077.8,25204.9
2985984,25077.8,25204.9
4410944,25224.6,25348.2
6028568,25423.5,25640.5
8869743,25555.6,25762.35
12008989,25687.7,25884.2
