Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_DIFFUSION3DPA,Base_HIP,block_64,783, PASSED     ,4.07602e-06,24.6932,36.9898,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,144.556,96.3725
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,783, PASSED     ,3.78304e-06,26.6056,39.8545,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,153.491,102.33
Apps_DIFFUSION3DPA,Base_HIP,block_64,789048, PASSED     ,4.12863e-05,2452.32,3680.05,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,3555.51,2369.33
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,789048, PASSED     ,4.02571e-05,2515.02,3774.13,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,3699.9,2465.55
Apps_DIFFUSION3DPA,Base_HIP,block_64,98631, PASSED     ,9.21166e-06,1373.92,2061.73,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,2061.73,1373.92
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,98631, PASSED     ,9.05806e-06,1397.22,2096.69,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,2096.69,1397.22
Apps_DIFFUSION3DPA,Base_HIP,block_64,1155843, PASSED     ,5.79728e-05,2558.32,3839.11,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,3555.51,2369.33
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1155843, PASSED     ,5.579e-05,2658.41,3989.32,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,3699.9,2465.55
Apps_DIFFUSION3DPA,Base_HIP,block_64,12339, PASSED     ,4.21262e-06,375.886,564.006,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,564.006,375.886
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,12339, PASSED     ,3.94564e-06,401.32,602.169,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,602.169,401.32
