Problem size,Base_HIP-block_64,RAJA_HIP-block_64
31104,39.5265,43.5196
73728,71.4333,77.6727
144000,101.969,112.427
248832,138.382,148.472
395136,176.598,187.772
839808,215.487,215.877
1152000,208.185,222.286
1533312,196.185,187.289
2530944,208.62,213.481
3161088,204.003,215.838
3888000,200.925,211.787
4718592,192.325,207.406
