Problem size,Base_HIP-block_256,RAJA_HIP-block_256
1331,31.6533,31.7629
8000,134.011,132.255
35937,480.213,475.308
79507,753.949,768.307
166375,1035.13,1044.22
343000,1294.03,1307.6
704969,1214.39,1221.92
1442897,1436.37,1435.21
2985984,1309.61,1313.24
4410944,1292.7,1295.99
6028568,1234.98,1246.99
8869743,1389.47,1394.56
12008989,1091.92,1074.94
