Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
389120,14.1286,12.2505,7.31438
778240,27.8535,24.4293,13.7571
1556480,52.9635,46.1987,24.2944
3108864,89.42,82.1846,37.0361
6213632,176.676,139.362,39.9667
12423168,147.779,181.198,37.9847
18198528,158.309,198.214,44.3899
24842240,163.563,190.934,44.9027
36392960,188.293,262.612,43.933
48521216,199.532,264.018,43.3177
60649472,219.475,280.153,45.6179
72781824,232.739,280.52,46.4525
