Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,24678.0,507.092,337.936
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,24678.0,518.682,345.66
Apps_EDGE3D-Base_HIP-block_256,35937.0,4397.19,10.136
Apps_EDGE3D-RAJA_HIP-block_256,35937.0,4563.03,10.5183
Apps_ENERGY-Base_HIP-block_256,53334.0,211.971,775.295
Apps_ENERGY-RAJA_HIP-block_256,53334.0,233.277,853.224
Apps_FEMSWEEP-Base_HIP-block_64,395136.0,220.431,42.0497
Apps_FEMSWEEP-RAJA_HIP-block_64,395136.0,236.134,45.0453
Apps_INTSC_HEXRECT-Base_HIP-block_64,74088.0,140.165,1.72054
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,74088.0,141.702,1.73942
Apps_MASS3DEA-Base_HIP-compile_time_block_stride_loop_64,6213632.0,38.9034,42.6714
Apps_MASS3DEA-RAJA_HIP-cached_block_stride_loop_64,9101312.0,37.2983,40.9108
Apps_MASS3DEA-RAJA_HIP-compile_time_block_stride_loop_64,3108864.0,6.66998,7.31602
Apps_MASS3DPA_ATOMIC-Base_HIP-block_64,19683.0,385.49,181.346
Apps_MASS3DPA_ATOMIC-RAJA_HIP-block_64,19683.0,400.142,188.239
Apps_MASSVEC3DPA-Base_HIP-direct_64,339840.0,569.434,173.707
Apps_MASSVEC3DPA-Base_HIP-runtime_block_stride_loop_64,339840.0,422.505,128.886
Apps_MASSVEC3DPA-RAJA_HIP-cached_block_stride_loop_64,339840.0,453.157,138.236
Apps_MASSVEC3DPA-RAJA_HIP-direct_64,339840.0,564.916,172.328
Apps_MASSVEC3DPA-RAJA_HIP-runtime_block_stride_loop_64,169920.0,307.561,93.8246
Apps_NODAL_ACCUMULATION_3D-Base_HIP-block_256,117649.0,35.3241,120.626
Apps_NODAL_ACCUMULATION_3D-RAJA_HIP-block_256,54872.0,33.8146,116.51
Apps_VOL3D-Base_HIP-block_256,35937.0,597.371,252.719
Apps_VOL3D-RAJA_HIP-block_256,35937.0,612.346,259.054
