Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_MASSVEC3DPA-Base_Seq-default,5376.0,10.7556,3.28712
Apps_MASSVEC3DPA-Base_HIP-runtime_block_stride_loop_64,339840.0,422.349,128.838
Apps_MASSVEC3DPA-Base_HIP-direct_64,339840.0,569.111,173.608
Apps_MASSVEC3DPA-RAJA_HIP-runtime_block_stride_loop_64,169920.0,306.778,93.5856
Apps_MASSVEC3DPA-RAJA_HIP-direct_64,339840.0,567.55,173.132
Apps_MASSVEC3DPA-RAJA_HIP-cached_block_stride_loop_64,339840.0,460.798,140.567
