Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_INTSC_HEXRECT-Base_Seq-default,1728.0,4.05739,0.0511849
Apps_INTSC_HEXRECT-Base_HIP-block_64,74088.0,140.587,1.72573
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,140608.0,146.252,1.79187
