Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
31104,61.409400000000005,80.2089,68.8203,89.22765,11.0281,14.6502,12.35895,16.2959
73728,98.9627,98.9627,109.451,109.451,18.2641,18.2641,20.1998,20.1998
144000,142.684,142.684,155.162,155.162,26.75,26.75,29.0893,29.0893
248832,189.98,189.98,200.702,200.702,35.9821,35.9821,38.013,38.013
395136,223.982,223.982,238.246,231.961,42.7271,42.7271,45.4482,44.4846
589824,227.475,227.475,231.961,238.246,43.6243,43.6243,44.4846,45.4482
839808,234.996,227.475,254.094,239.015,45.2512,43.6243,48.9287,46.2969
1152000,227.902,227.68849999999998,244.513,241.764,44.0279,43.8261,47.2369,46.7669
1533312,220.807,227.902,239.015,244.513,42.77,44.0279,46.2969,47.2369
