Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed)
405,22.439,84.3139,25.5939,94.9493
1566,84.3139,168.85595,94.9493,183.02515
6183,253.398,253.398,271.101,271.101
12339,348.541,348.541,364.698,364.698
24678,496.289,496.289,508.972,508.972
49329,542.91,542.91,569.757,569.757
98631,588.089,542.91,610.561,569.757
197262,625.872,542.91,656.348,569.757
394524,495.738,541.9135,521.531,566.046
577935,477.751,495.738,497.561,521.531
