Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
512,637.307,2624.7,687.267,2861.66
3375,2624.7,3059.7,2861.66,3255.35
17576,3494.7,3494.7,3649.04,3649.04
35937,3804.95,3804.95,3834.26,3827.66
79507,3856.42,3835.77,3827.66,3834.26
166375,3835.77,3856.42,3867.16,3867.16
343000,3976.05,3976.05,3982.76,3982.76
704969,4059.31,4059.31,4104.0,4104.0
1442897,4109.69,4084.5,4151.42,4127.71
2146689,4121.24,4109.69,4193.81,4151.42
