Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
1000,3.8643,16.1278,3.77658,16.9491,14.9139,58.1073,14.5753,61.0663
5832,16.1278,22.36945,16.9491,23.9597,58.1073,78.8729,61.0663,84.46065
27000,28.6111,28.6111,30.9703,30.9703,99.6385,99.6385,107.855,107.855
54872,32.4459,32.4459,32.3849,32.3849,111.794,111.794,111.584,111.584
117649,35.2003,35.2003,35.6716,35.6716,120.203,120.203,121.812,121.069
238328,35.7645,35.7645,36.3626,35.8717,121.341,120.868,123.371,121.812
493039,35.8122,35.8122,35.8717,36.3626,120.868,121.341,121.069,123.126
1000000,36.5243,36.5243,36.628,36.628,122.778,122.778,123.126,123.371
2048383,36.89,36.70715,37.0069,36.81745,123.611,123.1945,124.002,123.564
2985984,37.0336,36.89,37.1615,37.0069,123.918,123.611,124.346,124.002
