Problem size,Base_HIP-direct_64 (raw),Base_HIP-direct_64 (smoothed),Base_HIP-runtime_block_stride_loop_64 (raw),Base_HIP-runtime_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-direct_64 (raw),RAJA_HIP-direct_64 (smoothed),RAJA_HIP-runtime_block_stride_loop_64 (raw),RAJA_HIP-runtime_block_stride_loop_64 (smoothed)
5376,41.0668,148.444,19.2028,72.3824,20.6796,78.4651,39.944,141.199,15.0908,56.8299
21312,148.444,216.805,72.3824,134.7972,78.4651,150.83755000000002,141.199,211.4445,56.8299,116.37095000000001
85056,285.166,285.166,197.212,197.212,223.21,223.21,281.69,281.69,175.912,175.912
169920,432.815,432.815,314.864,314.864,381.19,381.19,430.61,430.61,308.159,300.04
339840,568.593,568.593,420.441,417.985,444.762,427.761,565.781,565.762,346.998,304.612
679680,582.554,568.593,417.985,420.152,433.036,431.737,572.002,565.762,300.04,304.612
1359360,580.919,568.593,420.152,420.152,427.761,433.036,565.762,565.762,304.612,300.04
2718720,545.099,545.099,422.482,420.152,431.737,433.036,543.747,543.747,296.909,296.909
5437248,532.807,541.4245000000001,419.835,421.046,435.249,433.49300000000005,529.483,542.586,275.953,286.431
7964736,537.75,537.75,421.94,421.94,435.596,435.249,541.425,541.425,272.357,275.953
