Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
729,39.13,151.497,42.2874,156.053,19.5755,72.8839,21.155,75.0755
3375,151.497,221.63500000000002,156.053,233.77,72.8839,105.60245,75.0755,111.37125
9261,291.773,291.773,311.487,311.487,138.321,138.321,147.667,147.667
19683,402.507,402.507,414.708,414.708,189.351,189.351,195.091,195.091
35937,437.128,437.128,442.209,442.209,204.664,204.664,207.043,206.665
68921,453.84,437.128,443.203,442.209,211.624,204.664,206.665,206.665
132651,456.036,437.128,453.051,442.209,211.962,204.664,210.575,206.665
250047,432.625,432.625,427.568,427.568,200.581,200.581,198.237,198.237
531441,398.167,416.831,394.038,415.365,184.178,192.961,182.268,192.28050000000002
753571,401.037,401.037,403.162,403.162,185.341,185.341,186.324,186.324
