Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_VOL3D-Base_HIP-block_256,343000.0,2826.46,1182.29
Apps_VOL3D-RAJA_HIP-block_256,343000.0,2822.35,1180.57
