Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_EDGE3D-Base_Seq-default,1331.0,8.36483,0.0200444
Apps_EDGE3D-Base_HIP-block_256,343000.0,27771.5,63.2963
Apps_EDGE3D-RAJA_HIP-block_256,166375.0,25705.7,58.752
