Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,197262.0,2763.42,1841.5
Apps_DIFFUSION3DPA-Base_Seq-default,783.0,9.8788,6.59477
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,394524.0,3411.32,2273.25
Apps_EDGE3D-Base_HIP-block_256,343000.0,27771.5,63.2963
Apps_EDGE3D-Base_Seq-default,1331.0,8.36483,0.0200444
Apps_EDGE3D-RAJA_HIP-block_256,166375.0,25705.7,58.752
Apps_ENERGY-Base_HIP-block_256,1250000.0,833.718,3049.37
Apps_ENERGY-Base_Seq-default,834.0,11.0692,40.4861
Apps_ENERGY-RAJA_HIP-block_256,1250000.0,833.018,3046.81
Apps_FEMSWEEP-Base_HIP-block_64,839808.0,1065.19,205.115
Apps_FEMSWEEP-Base_Seq-default,31104.0,3.01734,0.541864
Apps_FEMSWEEP-RAJA_HIP-block_64,839808.0,1151.79,221.79
Apps_INTSC_HEXRECT-Base_HIP-block_64,287496.0,845.661,10.3438
Apps_INTSC_HEXRECT-Base_Seq-default,2744.0,4.15467,0.0521051
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,287496.0,838.699,10.2587
Apps_MASS3DEA-Base_HIP-compile_time_block_stride_loop_64,18198528.0,193.453,212.19
Apps_MASS3DEA-Base_Seq-default,389120.0,0.0806808,0.0884992
Apps_MASS3DEA-RAJA_HIP-cached_block_stride_loop_64,36392960.0,224.417,246.152
Apps_MASS3DEA-RAJA_HIP-compile_time_block_stride_loop_64,6213632.0,36.5386,40.0775
Apps_MASS3DPA_ATOMIC-Base_HIP-block_64,132651.0,2307.89,1072.69
Apps_MASS3DPA_ATOMIC-Base_Seq-default,1331.0,10.3068,5.06074
Apps_MASS3DPA_ATOMIC-RAJA_HIP-block_64,132651.0,2315.66,1076.3
Apps_MASSVEC3DPA-Base_HIP-direct_64,2718720.0,3126.86,953.827
Apps_MASSVEC3DPA-Base_HIP-runtime_block_stride_loop_64,2718720.0,2373.42,723.994
Apps_MASSVEC3DPA-Base_Seq-default,10752.0,10.98,3.35254
Apps_MASSVEC3DPA-RAJA_HIP-cached_block_stride_loop_64,2718720.0,2484.4,757.849
Apps_MASSVEC3DPA-RAJA_HIP-direct_64,2718720.0,3109.17,948.432
Apps_MASSVEC3DPA-RAJA_HIP-runtime_block_stride_loop_64,1359360.0,1511.95,461.21
Apps_NODAL_ACCUMULATION_3D-Base_HIP-block_256,1000000.0,205.748,691.63
Apps_NODAL_ACCUMULATION_3D-Base_Seq-default,2744.0,1.39555,5.1525
Apps_NODAL_ACCUMULATION_3D-RAJA_HIP-block_256,1000000.0,205.592,691.105
Apps_VOL3D-Base_HIP-block_256,343000.0,2960.57,1238.39
Apps_VOL3D-Base_Seq-default,1331.0,16.0597,7.06277
Apps_VOL3D-RAJA_HIP-block_256,343000.0,2952.54,1235.03
