Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_ENERGY-Base_HIP-block_256,1250000.0,820.666,3001.63
Apps_ENERGY-RAJA_HIP-block_256,1250000.0,803.821,2940.02
