Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
1728,23.8161,76.4015,4.05739,4.28896,23.6793,76.1797,0.300447,0.951003,0.0511849,0.0533866,0.298721,0.948242
5832,76.4015,97.67375,4.28896,4.3242899999999995,76.1797,98.60034999999999,0.951003,1.2101215,0.0533866,0.0536187,0.948242,1.221556
17576,118.946,118.946,4.35962,4.35962,121.021,121.021,1.46924,1.46924,0.0538508,0.0538376,1.49487,1.49487
39304,125.284,125.284,4.38435,4.38435,125.991,125.991,1.5415,1.5415,0.0539456,0.0538508,1.5502,1.5502
74088,140.587,140.587,4.38589,4.38589,139.452,139.452,1.72573,1.72573,0.0538376,0.053867,1.7118,1.7118
140608,145.176,145.176,4.40402,4.4039,146.252,143.176,1.77869,1.77869,0.0539579,0.053867,1.79187,1.75128
287496,146.625,146.625,4.4039,4.4039,143.176,146.252,1.79347,1.79347,0.053867,0.053863,1.75128,1.79187
551368,148.237,148.237,4.40881,4.4039,152.408,152.408,1.81102,1.81102,0.053863,0.053863,1.86199,1.86199
1124864,154.757,151.497,4.40316,4.40353,154.998,153.6845,1.88875,1.849885,0.0537387,0.05380085,1.89168,1.87619
1643032,155.324,154.757,4.4016,4.40316,154.961,154.961,1.89481,1.88875,0.0536954,0.0537387,1.89039,1.89039
