Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
31104,63.895700000000005,82.2728,3.3613150000000003,3.23414,69.0547,88.68065,11.4746,15.024750000000001,0.6036360000000001,0.5885345,12.40105,16.19475
73728,100.518,100.518,3.11191,3.11191,108.269,108.269,18.5512,18.5512,0.57432,0.57432,19.9817,19.9817
144000,146.182,146.182,2.46577,2.46577,155.203,155.203,27.4057,27.4057,0.462276,0.462276,29.0971,29.0971
248832,189.847,189.847,2.22201,2.2469,198.248,198.248,35.957,35.957,0.420849,0.428621,37.5482,37.5482
395136,196.428,196.428,2.2469,2.22201,212.433,212.433,37.471,37.471,0.428621,0.425644,40.524,40.524
589824,231.835,229.037,2.21948,2.21948,223.812,223.812,44.4605,44.2472,0.425644,0.420849,42.9218,42.9218
839808,243.725,229.037,2.01244,2.12626,255.606,239.328,46.932,44.2472,0.387519,0.411853,49.2199,46.3573
1152000,229.037,230.436,1.9545,2.06935,241.696,240.512,44.2472,44.35385,0.377586,0.399686,46.6927,46.525000000000006
1533312,226.592,229.037,2.12626,2.01244,239.328,241.696,43.8905,44.2472,0.411853,0.387519,46.3573,46.6927
