Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
729,41.1061,155.613,10.0932,10.0932,39.6654,152.573,20.5641,74.8639,5.04932,4.9566,19.8433,73.4013
3375,155.613,231.8795,10.3028,10.045425,152.573,229.0285,74.8639,110.47345,4.9566,4.8299,73.4013,109.11115000000001
9261,308.146,308.146,9.90615,10.045,305.484,305.484,146.083,146.083,4.69623,4.7032,144.821,144.821
19683,389.674,389.674,9.99765,10.0233,391.541,391.541,183.315,183.315,4.7032,4.70308,184.193,184.193
35937,445.663,428.424,10.045,10.0023,426.052,417.819,208.66,199.773,4.70308,4.69623,199.478,194.828
68921,428.424,428.424,10.0233,10.0023,417.819,426.052,199.773,199.773,4.67384,4.67384,194.828,198.375
132651,440.106,428.424,10.0023,10.0023,443.516,426.052,204.558,199.773,4.649,4.649,206.143,198.375
250047,425.069,425.069,9.6782,9.6782,427.867,417.819,197.078,197.078,4.48718,4.48718,198.375,194.828
531441,386.463,405.766,8.59865,9.191469999999999,398.134,413.0005,178.764,187.921,3.97743,4.25506,184.162,191.26850000000002
753571,386.187,386.463,8.70474,8.70474,387.484,398.134,178.479,178.764,4.02294,4.02294,179.078,184.162
