Problem size,Base_CUDA-block_128 (raw),Base_CUDA-block_128 (smoothed),Base_OpenMP-default (raw),Base_OpenMP-default (smoothed),RAJA_CUDA-block_128 (raw),RAJA_CUDA-block_128 (smoothed),RAJA_OpenMP-default (raw),RAJA_OpenMP-default (smoothed),Base_CUDA-block_128 (raw B/W),Base_CUDA-block_128 (smoothed B/W),Base_OpenMP-default (raw B/W),Base_OpenMP-default (smoothed B/W),RAJA_CUDA-block_128 (raw B/W),RAJA_CUDA-block_128 (smoothed B/W),RAJA_OpenMP-default (raw B/W),RAJA_OpenMP-default (smoothed B/W)
31104,82.63024999999999,108.0861,62.15285,62.15285,55.4838,71.93955,62.72395,63.5291,14.839,19.74025,11.1616,11.1616,9.963955,13.13805,11.26415,11.568349999999999
73728,132.656,132.656,23.5433,62.3389,88.0508,88.0508,64.1992,64.1992,24.4824,24.4824,4.34505,11.195,16.2503,16.2503,11.8483,11.8483
144000,185.857,185.857,65.6286,65.6286,126.218,126.218,67.2799,67.2799,34.8438,34.8438,12.3039,12.3039,23.6631,23.6631,12.6134,12.6134
248832,236.273,236.273,67.5296,65.6286,162.89,162.89,67.7634,67.2799,44.7501,44.7501,12.7901,12.4373,30.8513,30.8513,12.8344,12.6994
395136,242.375,242.375,66.7623,65.6286,190.284,190.284,67.8246,67.2799,46.2359,46.2359,12.7357,12.4373,36.2988,36.2988,12.9383,12.6994
589824,277.056,277.056,64.853,64.853,221.473,221.473,66.2197,66.2197,53.1328,53.1328,12.4373,12.4373,42.4732,42.4732,12.6994,12.6994
1152000,302.761,302.761,60.4006,60.4006,253.122,253.122,59.0691,59.0691,58.4897,58.4897,11.6686,11.6686,48.9,48.9,11.4114,11.4114
1533312,319.269,319.269,51.4702,55.0844,269.652,269.652,55.8606,55.8606,61.8418,61.8418,9.9697,10.6931,52.2312,52.2312,10.8201,10.8201
1990656,338.935,329.102,55.0844,53.7329,284.038,276.845,54.0159,54.93825,65.7951,63.81845,10.6931,10.44015,55.1382,53.6847,10.4857,10.652899999999999
2530944,343.033,338.935,52.3814,52.3814,297.044,284.038,51.8627,54.0159,66.7134,65.7951,10.1872,10.1872,57.7695,55.1382,10.0863,10.4857
