Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,394524.0,3352.01,2233.73
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,394524.0,3514.89,2342.26
Apps_EDGE3D-Base_HIP-block_256,343000.0,25505.3,66.1112
Apps_EDGE3D-RAJA_HIP-block_256,343000.0,25427.5,65.9096
Apps_ENERGY-Base_HIP-block_256,1250000.0,847.235,3098.81
Apps_ENERGY-RAJA_HIP-block_256,1250000.0,844.541,3088.96
Apps_FEMSWEEP-Base_HIP-block_64,839808.0,1119.05,215.487
Apps_FEMSWEEP-RAJA_HIP-block_64,395136.0,984.329,187.772
Apps_INTSC_HEXRECT-Base_HIP-block_64,287496.0,855.41,10.4631
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,287496.0,858.945,10.5063
Apps_MASS3DEA-Base_HIP-compile_time_block_stride_loop_64,48521216.0,181.913,199.532
Apps_MASS3DEA-RAJA_HIP-cached_block_stride_loop_64,36392960.0,239.424,262.612
Apps_MASS3DEA-RAJA_HIP-compile_time_block_stride_loop_64,18198528.0,40.4703,44.3899
Apps_MASS3DPA_ATOMIC-Base_HIP-block_64,132651.0,2408.02,1119.23
Apps_MASS3DPA_ATOMIC-RAJA_HIP-block_64,132651.0,2368.18,1100.71
Apps_MASSVEC3DPA-Base_HIP-direct_64,2718720.0,3156.76,962.948
Apps_MASSVEC3DPA-Base_HIP-runtime_block_stride_loop_64,2718720.0,2436.31,743.179
Apps_MASSVEC3DPA-RAJA_HIP-cached_block_stride_loop_64,2718720.0,2527.46,770.983
Apps_MASSVEC3DPA-RAJA_HIP-direct_64,2718720.0,3148.14,960.319
Apps_MASSVEC3DPA-RAJA_HIP-runtime_block_stride_loop_64,1359360.0,1544.2,471.051
Apps_NODAL_ACCUMULATION_3D-Base_HIP-block_256,1000000.0,206.603,694.503
Apps_NODAL_ACCUMULATION_3D-RAJA_HIP-block_256,1000000.0,206.809,695.197
Apps_VOL3D-Base_HIP-block_256,343000.0,3093.59,1294.03
Apps_VOL3D-RAJA_HIP-block_256,343000.0,3126.04,1307.6
