Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,197262.0,2756.48,N/A
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,197262.0,2824.15,N/A
