Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_VOL3D-Base_HIP-block_256,343000.0,2958.27,N/A
Apps_VOL3D-RAJA_HIP-block_256,343000.0,2949.85,N/A
