Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GB per sec.)
Apps_FEMSWEEP-Base_HIP-block_64,73728.0,78.3641,N/A
Apps_FEMSWEEP-RAJA_HIP-block_64,73728.0,87.6683,N/A
